intitule_cours,type_cours,groupe_eleve,code_cours,date,date_only,heure,jour_semaine,civilité,code_eleve,groupes
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,04/11/2025 15:45,2025-11-04,15:45:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,TP,G1,XA1S514C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,10/11/2025 09:45,2025-11-10,09:45:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,10/11/2025 11:30,2025-11-10,11:30:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,24/11/2025 09:45,2025-11-24,09:45:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,24/11/2025 11:30,2025-11-24,11:30:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22509348,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,15/09/2025 09:45,2025-09-15,09:45:00,lundi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,15/09/2025 14:00,2025-09-15,14:00:00,lundi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 08:00,2025-09-16,08:00:00,mardi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 09:45,2025-09-16,09:45:00,mardi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 11:30,2025-09-16,11:30:00,mardi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,16/09/2025 14:00,2025-09-16,14:00:00,mardi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,24/11/2025 09:45,2025-11-24,09:45:00,lundi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,24/11/2025 11:30,2025-11-24,11:30:00,lundi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/12/2025 08:45,2025-12-03,08:45:00,mercredi,Ingé Informatique 3ème année,22307599,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,22/10/2025 08:45,2025-10-22,08:45:00,mercredi,Ingé Informatique 3ème année,22320171,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22320171,"IG3-TP1, IG3-TD1, IG3-TOUS"
Shell & CLI,CM,,XA1S500C,08/09/2025 08:00,2025-09-08,08:00:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,15/09/2025 09:45,2025-09-15,09:45:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/09/2025 08:45,2025-09-24,08:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,29/09/2025 14:00,2025-09-29,14:00:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,01/10/2025 08:45,2025-10-01,08:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,07/10/2025 09:45,2025-10-07,09:45:00,mardi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,07/10/2025 11:30,2025-10-07,11:30:00,mardi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,08/10/2025 08:00,2025-10-08,08:00:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,08/10/2025 09:45,2025-10-08,09:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,13/10/2025 09:45,2025-10-13,09:45:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,13/10/2025 11:30,2025-10-13,11:30:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 15:45,2025-10-14,15:45:00,mardi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,15/10/2025 09:45,2025-10-15,09:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,17/10/2025 08:00,2025-10-17,08:00:00,vendredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,20/10/2025 09:45,2025-10-20,09:45:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G1,XA1S534C,20/10/2025 11:30,2025-10-20,11:30:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,20/10/2025 14:00,2025-10-20,14:00:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,22/10/2025 08:45,2025-10-22,08:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/11/2025 11:30,2025-11-03,11:30:00,lundi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,TP,G1,XA1S514C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/12/2025 08:45,2025-12-03,08:45:00,mercredi,Ingé Informatique 3ème année,22515448,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,03/11/2025 09:45,2025-11-03,09:45:00,lundi,Ingé Informatique 3ème année,22510645,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,03/11/2025 14:00,2025-11-03,14:00:00,lundi,Ingé Informatique 3ème année,22510645,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,04/11/2025 09:45,2025-11-04,09:45:00,mardi,Ingé Informatique 3ème année,22510645,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,04/11/2025 14:00,2025-11-04,14:00:00,mardi,Ingé Informatique 3ème année,22510645,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,G2,XA1S524C,15/09/2025 11:30,2025-09-15,11:30:00,lundi,Ingé Informatique 3ème année,22509976,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,TP,G2,XA1S514C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Informatique 3ème année,22509976,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,22509976,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22509976,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,13/10/2025 15:45,2025-10-13,15:45:00,lundi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,14/10/2025 14:00,2025-10-14,14:00:00,mardi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 15:45,2025-10-14,15:45:00,mardi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,15/10/2025 09:45,2025-10-15,09:45:00,mercredi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,17/10/2025 08:00,2025-10-17,08:00:00,vendredi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,20/10/2025 14:00,2025-10-20,14:00:00,lundi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22310352,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22505652,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22505652,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,15/09/2025 09:45,2025-09-15,09:45:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,15/09/2025 14:00,2025-09-15,14:00:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 08:00,2025-09-16,08:00:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 09:45,2025-09-16,09:45:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,16/09/2025 11:30,2025-09-16,11:30:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,16/09/2025 14:00,2025-09-16,14:00:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,19/09/2025 09:45,2025-09-19,09:45:00,vendredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,29/09/2025 14:00,2025-09-29,14:00:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,30/09/2025 09:45,2025-09-30,09:45:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,06/10/2025 14:00,2025-10-06,14:00:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,07/10/2025 14:00,2025-10-07,14:00:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,08/10/2025 08:00,2025-10-08,08:00:00,mercredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 15:45,2025-10-14,15:45:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,20/10/2025 14:00,2025-10-20,14:00:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/11/2025 11:30,2025-11-03,11:30:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,03/11/2025 15:45,2025-11-03,15:45:00,lundi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,04/11/2025 15:45,2025-11-04,15:45:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,TP,G1,XA1S514C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/12/2025 08:45,2025-12-03,08:45:00,mercredi,Ingé Informatique 3ème année,22414949,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22301102,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,06/10/2025 09:45,2025-10-06,09:45:00,lundi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,06/10/2025 11:30,2025-10-06,11:30:00,lundi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,06/10/2025 15:45,2025-10-06,15:45:00,lundi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,G2,XA1S524C,07/10/2025 08:00,2025-10-07,08:00:00,mardi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,07/10/2025 09:45,2025-10-07,09:45:00,mardi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,07/10/2025 15:45,2025-10-07,15:45:00,mardi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,08/10/2025 08:00,2025-10-08,08:00:00,mercredi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,G2,XA1S524C,08/10/2025 09:45,2025-10-08,09:45:00,mercredi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,G2,XA1S524C,08/10/2025 11:30,2025-10-08,11:30:00,mercredi,Ingé Informatique 3ème année,22202358,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22513742,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,17/10/2025 09:45,2025-10-17,09:45:00,vendredi,Ingé Informatique 3ème année,22515987,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22515987,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22301328,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22301328,"IG3-TP2, IG3-TD2, IG3-TOUS"
Shell & CLI,CM,,XA1S500C,08/09/2025 08:00,2025-09-08,08:00:00,lundi,Ingé Informatique 3ème année,22514776,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,15/09/2025 09:45,2025-09-15,09:45:00,lundi,Ingé Informatique 3ème année,22514776,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,16/09/2025 14:00,2025-09-16,14:00:00,mardi,Ingé Informatique 3ème année,22514776,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,19/09/2025 09:45,2025-09-19,09:45:00,vendredi,Ingé Informatique 3ème année,22514776,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/09/2025 08:45,2025-09-24,08:45:00,mercredi,Ingé Informatique 3ème année,22514776,"IG3-TP1, IG3-TD1, IG3-TOUS"
Software Design,CM,,XA1S710C,17/09/2025 14:30,2025-09-17,14:30:00,mercredi,Ingé Informatique 4ème année,22410098,"IG4-TD1, IG4-TP1, IG4-TOUS"
Fond.du machine learning,CMTD,G1,XA1S726C,27/11/2025 11:30,2025-11-27,11:30:00,jeudi,Ingé Informatique 4ème année,22410098,"IG4-TD1, IG4-TP1, IG4-TOUS"
Entrepôts de données,TP,G1,XA1S705C,03/12/2025 09:45,2025-12-03,09:45:00,mercredi,Ingé Informatique 4ème année,22410098,"IG4-TD1, IG4-TP1, IG4-TOUS"
Software Design,CM,,XA1S710C,17/09/2025 14:30,2025-09-17,14:30:00,mercredi,Ingé Informatique 4ème année,22203011,"IG4-TD1, IG4-TP1, IG4-TOUS"
Software Design,CM,,XA1S710C,17/09/2025 14:30,2025-09-17,14:30:00,mercredi,Ingé Informatique 4ème année,22413107,"IG4-TD2, IG4-TP2, IG4-TOUS"
Fond.du machine learning,CMTD,G1,XA1S726C,27/11/2025 11:30,2025-11-27,11:30:00,jeudi,Ingé Informatique 4ème année,22208599,"IG4-TD1, IG4-TP1, IG4-TOUS"
Entrepôts de données,TP,G1,XA1S705C,03/12/2025 09:45,2025-12-03,09:45:00,mercredi,Ingé Informatique 4ème année,22208599,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,09/09/2025 08:00,2025-09-09,08:00:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,09/09/2025 09:45,2025-09-09,09:45:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,23/09/2025 08:00,2025-09-23,08:00:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,23/09/2025 09:45,2025-09-23,09:45:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,30/09/2025 08:00,2025-09-30,08:00:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,30/09/2025 09:45,2025-09-30,09:45:00,mardi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Entrepôts de données,TP,G1,XA1S705C,03/12/2025 09:45,2025-12-03,09:45:00,mercredi,Ingé Informatique Echange ou Convention,22515236,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,14/10/2025 08:00,2025-10-14,08:00:00,mardi,Ingé Informatique 4ème année,22205466,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G1,XA1S735C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 4ème année,22205466,"IG4-TD1, IG4-TP1, IG4-TOUS"
Anglais S7,TD,G2,XA1S735C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 4ème année,22414812,"IG4-TD2, IG4-TP2, IG4-TOUS"
Entrepôts de données,TP,G2,XA1S705C,03/12/2025 08:00,2025-12-03,08:00:00,mercredi,Ingé Informatique 4ème année,22414812,"IG4-TD2, IG4-TP2, IG4-TOUS"
Software Design,CM,,XA1S710C,17/09/2025 14:30,2025-09-17,14:30:00,mercredi,Ingé Informatique 4ème année,22414838,"IG4-TD2, IG4-TP2, IG4-TOUS"
Software Design,CM,,XA1S710C,17/09/2025 14:30,2025-09-17,14:30:00,mercredi,Ingé Informatique 4ème année,22414922,"IG4-TD1, IG4-TP1, IG4-TOUS"
